Name,Artist,Album,Genre,Charter,Year,songlength
Break on Through (To the Other Side),The Doors,The Doors,Classic Rock,Harmonix,1967,149050
Love Me Two Times,The Doors,Strange Days,Classic Rock,Neversoft,1967,198821
Beat It on Down the Line,The Grateful Dead,The Grateful Dead,Classic Rock,Harmonix,1967,151815
Cold Rain And Snow,The Grateful Dead,The Grateful Dead,Classic Rock,Harmonix,1967,152009
Castles Made of Sand,The Jimi Hendrix Experience,Axis: Bold as Love,Classic Rock,Harmonix,1967,163804
Fire,The Jimi Hendrix Experience,Are You Experienced,Classic Rock,Harmonix,1967,166400
Foxey Lady,The Jimi Hendrix Experience,Are You Experienced,Classic Rock,Harmonix,1967,206417
If 6 Was 9,The Jimi Hendrix Experience,Axis: Bold as Love,Classic Rock,Harmonix,1967,340285
Little Miss Lover,The Jimi Hendrix Experience,Axis: Bold as Love,Classic Rock,Harmonix,1967,152360
Little Wing,The Jimi Hendrix Experience,Axis: Bold as Love,Classic Rock,Harmonix,1967,158794
Love or Confusion,The Jimi Hendrix Experience,Are You Experienced,Classic Rock,Harmonix,1967,198421
May This Be Love,The Jimi Hendrix Experience,Are You Experienced,Classic Rock,Harmonix,1967,200320
One Rainy Wish,The Jimi Hendrix Experience,Axis: Bold as Love,Classic Rock,Harmonix,1967,236658
Purple Haze,The Jimi Hendrix Experience,Are You Experienced,Classic Rock,Harmonix,1967,181320
Purple Haze,The Jimi Hendrix Experience,Are You Experienced,Classic Rock,Harmonix,1967,181474
She's So Fine,The Jimi Hendrix Experience,Axis: Bold as Love,Classic Rock,Harmonix,1967,163380
Spanish Castle Magic,The Jimi Hendrix Experience,Axis: Bold as Love,Classic Rock,Harmonix,1967,193331
Spanish Castle Magic,The Jimi Hendrix Experience,Axis: Bold as Love,Classic Rock,Harmonix,1967,193008
Stone Free,The Jimi Hendrix Experience,Valleys of Neptune,Classic Rock,Harmonix,1967,228224
The Wind Cries Mary,The Jimi Hendrix Experience,Are You Experienced,Classic Rock,Harmonix,1967,207306
The Wind Cries Mary,The Jimi Hendrix Experience,Are You Experienced?,Classic Rock,Neversoft,1967,208251
Wait Until Tomorrow,The Jimi Hendrix Experience,Axis: Bold as Love,Classic Rock,Harmonix,1967,201471
You Got Me Floatin',The Jimi Hendrix Experience,Axis: Bold as Love,Classic Rock,Harmonix,1967,174686
I Can See for Miles,The Who,The Who Sell Out,Classic Rock,Harmonix,1967,271687
Spanish Castle Magic,Jimi Hendrix (WaveGroup),Axis: Bold as Love,Hard Rock,Harmonix,1967,193918
Spanish Castle Magic,Jimi Hendrix (WaveGroup),Axis: Bold as Love,Hard Rock,Harmonix,1967,193918
If 6 Was 9,The Jimi Hendrix Experience,Axis: Bold as Love,Psychedelic Rock,Neversoft,1967,345451
Little Wing,The Jimi Hendrix Experience,Axis: Bold as Love,Psychedelic Rock,Neversoft,1967,170021
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You,rbsoulfunk,Unknown Charter,1967,144265
Brown Eyed Girl,Van Morrison,Blowin' Your Mind!,rbsoulfunk,Unknown Charter,1967,188590
Happy Together,The Turtles,Happy Together,Rock,Neversoft,1967,178690
Happy Together,The Turtles,Happy Together,Rock,Neversoft,1967,178690
Stray Cat Blues,The Rolling Stones,Beggars Banquet,Blues Rock,Neversoft,1968,283866
Sunshine of Your Love,Cream (WaveGroup),Disraeli Gears,Classic Rock,Neversoft,1968,267271
Birthday,The Beatles,The Beatles (The White Album),Classic Rock,DeepFriedDVD,1968,167865
All Along the Watchtower,The Jimi Hendrix Experience,Electric Ladyland,Classic Rock,Harmonix,1968,249153
Crosstown Traffic,The Jimi Hendrix Experience,Electric Ladyland,Classic Rock,Harmonix,1968,147125
