Name,Artist,Album,Genre,Charter,Year,songlength
The Animal,Disturbed,Asylum,Metal,Harmonix,2010,247151
Warrior,Disturbed,Asylum,numetal,"Harmonix, Rhythm Authors",2010,209107
Immortalized,Disturbed,Immortalized,numetal,Unknown Charter,2015,260908
The Sound of Silence,Disturbed,Immortalized,numetal,Unknown Charter,2015,251769
The Vengeful One,Disturbed,Immortalized,numetal,Unknown Charter,2015,256939
Chalk Lines,Division Day,Visitation,Indie Rock,Unknown Charter,2009,209173
Sin Wagon,Dixie Chicks,Fly,Country,Harmonix,1999,218796
The Atlantic That I Favor,DJ Cummerbund,N/A,Ska,Halcyon,2018,201113
Weird Betty,DJ Cummerbund,Weird Betty,Mashup,Derpferdler,2020,260484
"Mother, We're Going Down",DJ J-Brew,The Bones From Under The Cork Tree,Mashup,ThatHydra,2017,218006
Wish Wish,DJ Khaled ft. Cardi B & 21 Savage,Father of Asahd,Hip Hop/Rap,DeepFriedDVD,2019,202269
All I Do is Win,DJ Khalied,Victory,Hip Hop/Rap,DeepFriedDVD,2010,227540
I'm the One,DJ Khalied,Grateful,Hip Hop/Rap,DeepFriedDVD,2017,321921
I'm the One,DJ Khalied,Unknown Album,Unknown Genre,Unknown Charter,2017,321948
Yo Gabba Gabba,DJ Lance Rock,Nickelodeon,YO,DeepFriedDVD,2008,55426
A Funky Moment - Jet Set Radio Evolution,DJ Peter and the Sound Slap,Jet Set Radio Evolution OST,video game ost,Creeel,2020,181965
Let Meme Love You,DJ Snake ft. Justin Bieber,Encore,Memes,YoshiOG,2016,206449
Party Up (Up in Here),DMX,...And Then There Was X,Hip-Hop,Sygenysis,1999,273970
X Gon' Give It to Ya [JRabes Mix],DMX,Cradle 2 the Grave,Hip-Hop,JRabes,2002,264015
X Gon' Give It To Ya,DMX,The Definition of X: Pick Of The Litter,hiphoprap,Unknown Charter,2003,242186
The Heist,DnA's Evolution,DnA's Evolution,Rock,Unknown Charter,2009,250024
Cake by the Ocean,DNCE,Swaay,poprock,Unknown Charter,2015,221847
Cake by the Ocean,DNCE,Cake by the Ocean,Rock,DeepFriedDVD,2015,218920
Mr. Scary,Dokken,Back for the Attack,Glam Metal,Raspberriel,1987,272201
Jolene,Dolly Parton,Jolene,country,"Harmonix, Rhythm Authors",1974,158297
I Hear the Dead,Dolly Spartans,Time Sides With No One,alternative,Unknown Charter,2017,250504
American Pie,Don McLean,American Pie,Classic Rock,Harmonix,1971,516278
American Pie,Don McLean,American Pie,Classic Rock,Neversoft,1971,519989
Donald Trump Sings All Star by Smash Mouth,Donald Trump (Luxior),Unknown Album,Meme,DeepFriedDVD,2017,71053
Throughout,Done Lying Down,Negative One Friends,Punk,Unknown Charter,1995,187056
Nothing For Me Here,Dope,No Regrets,Nu Metal,Neversoft,2009,177532
Creative Warrior,DoubleShot,Unknown Album,Rock,Unknown Charter,2009,211221
Livin' Right,DoubleShot,Unknown Album,Rock,Unknown Charter,2009,229018
Fist Bump,Douglas Robb,Sonic Forces,Rock,StormEagle,2017,267159
Fist Bump,Douglas Robb,Sonic Forces Original Soundtrack - A Hero Will Rise,Rock,PeckInkay,2017,269756
Fist Bump,Douglas Robb,Sonic Forces Original Soundtrack - A Hero Will Rise,Rock,PeckInkay,2017,269756
King George,Dover,I Was Dead for 7 Weeks in the City of Angels,Rock,Harmonix,2001,177041
Blinded,Down Factor,Murder the World,Metal,Unknown Charter,2005,323999
Forgot About Dre (featuring Eminem),Dr. Dre,2001,Hip-Hop/Rap,Unknown Charter,1999,238038
The Next Episode,Dr. Dre ft. Snoop Dogg,2001,Hip-Hop/Rap,JohnSmith2007,1999,166765
Still D.R.E.,Dr. Dre ft. Snoop Dogg,2001,West Coast Classics,DeepFriedDVD,1999,291340
I Don't Wanna Die,Dr. Mastermind,Dr. Mastermind,Speed Metal,Sygenysis + Nunchuck,1986,405972
The Lorax,Dr. Suess,Dr. Suess' The Lorax,Movie,TheAssman,2012,5179001
Dragon Ball GT Opening (Portuguese),Dragon Ball,Dragon Ball GT,Pop Rock,SammyMuse,1998,105079
Ultimate Battle Cover,Dragon Ball super,Episode 121,Rock,DarkAngel2096,2017,173773
Fury of the Storm,DragonForce,Sonic Firestorm,Speed Metal,Neversoft,2004,407133
Cry for Eternity,DragonForce,Inhuman Rampage,Metal,"GHX, beard216, TheBassSinger",2006,493653
Through the Fire and Flames (RB4 version),DragonForce,Inhuman Rampage,metal,Unknown Charter,2006,445975
Operation Ground and Pound,Dragonforce,Inhuman Rampage,Power Metal,Neversoft,2006,465960
Operation Ground and Pound,Dragonforce,Inhuman Rampage,Power Metal,Neversoft,2006,465960
Operation Ground and Pound (Co-op),Dragonforce,Inhuman Rampage,Power Metal,Neversoft,2006,465960
Operation Ground and Pound (Co-op),Dragonforce,Inhuman Rampage,Power Metal,Neversoft,2006,465960
Revolution Deathsquad,Dragonforce,Inhuman Rampage,Power Metal,Neversoft,2006,474659
Revolution Deathsquad,Dragonforce,Inhuman Rampage,Power Metal,Neversoft,2006,474659
Revolution Deathsquad (Co-op),Dragonforce,Inhuman Rampage,Power Metal,Neversoft,2006,474659
Revolution Deathsquad (Co-op),Dragonforce,Inhuman Rampage,Power Metal,Neversoft,2006,474659
Through the Fire and Flames,Dragonforce,Inhuman Rampage,Power Metal,Harmonix,2006,442999
Through the Fire and Flames (6 Fret Chart),Dragonforce,Inhuman Rampage,Power Metal,"All About The Music, Neversoft",2006,441211
Through the Fire and Flames (GHL Version),DragonForce,Inhuman Rampage,Power Metal,"Plumato, All About The Music, FSG",2006,299932
Through the Fire and Flames (RB4 Chart),Dragonforce,Inhuman Rampage,Power Metal,Harmonix,2006,444079
Through The Fire & Flames,Dragonforce,Inhuman Rampage,Power Metal/Speed Metal,Neversoft,2006,442363
Through The Fire & Flames (Co-op),Dragonforce,Inhuman Rampage,Power Metal/Speed Metal,Neversoft,2006,442363
Heroes of Our Time,Dragonforce,Ultra Beatdown,Power Metal,Neversoft,2008,434221
Heroes of Our Time,Dragonforce,Ultra Beatdown,Power Metal,Neversoft,2008,434221
Heroes of Our Time (Co-op),Dragonforce,Ultra Beatdown,Power Metal,Neversoft,2008,434221
Heroes of Our Time (Co-op),Dragonforce,Ultra Beatdown,Power Metal,Neversoft,2008,434221
Astral Empire,DragonForce,Reaching Into Infinity,Power Metal,Rek3dge,2017,327781
Curse of Darkness,DragonForce,Reaching Into Infinity,Power Metal,Rek3dge,2017,338181
Judgement Day,DragonForce,Reaching Into Infinity,Power Metal,Rek3dge,2017,373813
Land of Shattered Dreams,DragonForce,Reaching Into Infinity,Power Metal,Rek3dge,2017,302886
Midnight Madness,DragonForce,Reaching Into Infinity,Power Metal,Rek3dge,2017,384284
Our Final Stand,DragonForce,Reaching Into Infinity,Power Metal,Rek3dge,2017,307249
Reaching Into Infinity - Ashes of the Dawn,DragonForce,Reaching Into Infinity,Power Metal,Rek3dge,2017,359158
Silence,DragonForce,Reaching Into Infinity,Power Metal,Rek3dge,2017,293613
The Edge of the World,DragonForce,Reaching Into Infinity,Progressive Power Metal,Rek3dge,2017,658033
WAR!,DragonForce,Reaching Into Infinity,Thrash Metal,Rek3dge,2017,322400
Highway to Oblivion,DragonForce,Extreme Power Metal,metal,Unknown Charter,2019,407710
The Last Dragonborn,DragonForce,Extreme Power Metal,Metal,SanicStudios,2019,372804
Troopers of the Stars,DragonForce,Extreme Power Metal,Metal,SanicStudios,2019,306000
Rappin' for the Fire and Flames,DragonForce ft. Pastor Jim Colerick,Mashup,Rap Metal,MetalMuxxer,2020,158837
In a Skyforged Meme,DragonForks,Extreme Penis Music,Memes,YoShibyl,2022,284000
God's Plan,Drake,Scary Hours,Hip Hop/Rap,DeepFriedDVD,2018,199111
Me Encanta el Fortnite lo Juego Todo el Dia,Drake,TU MAMA,Hip Hop/Rap,LMBECIL1832,2018,126107
Forever,"Drake, Kanye West, Lil Wayne & Eminem",Unknown Album,Hip-Hop/Rap,Truce,2009,361748
Sprite Cranberry Overchart,DRAM & Lebron James,Wanna Sprite Cranberry,Meme,DeepFriedDVD,2017,30093
Mask,Dream,Single,Pop Rock,Nat,2021,174495
"Metropolis - Part 1 ""The Miracle and the Sleeper""",Dream Theater,Images and Words,prog,Unknown Charter,1992,573997
Pull Me Under,Dream Theater,Images and Words,prog,Unknown Charter,1992,498796
Pull Me Under,Dream Theater,Images and Words,Prog Rock,Neversoft,1992,495707
The Glass Prison,Dream Theater,Six Degrees Of Inner Turbulence,Prog Metal,Roadsounder99,2002,834960
Panic Attack,Dream Theater,Octavarium,Progressive,Harmonix,2005,441904
Lucky Strike (Maroon 5 Cover),Dreamcatcher,Lucky Strike,K-Pop,JaysonTM,2017,171140
Lucky Strike (Maroon 5 Cover),Dreamcatcher,Lucky Strike,K-Pop,JaysonTM,2017,171140
Wake Up,Dreamcatcher,Prequel,K-Pop,Nea7x,2017,214098
What Makes You Beautiful (One Direction Cover),Dreamcatcher,What Makes You Beautiful,Pop,oBLINKxONCEo,2017,202944
Treasure (Bruno Mars cover),Dreamcatcher (Siyeon),Treasure (Single),Rock,JaysonTM,2017,103564
Sometimes,Dreamgirl,Sometimes,poprock,"Harmonix, Rhythm Authors",2021,143613
Shrek,Dreamworks Animation,memes,memes,BGS,2001,5404544
Bee Movie,DreamWorks Animation,memes,memes,BlueGreenSnake,2007,5441109
Megamind,Dreamworks Animation,Megamind,Film,Peridot Champion,2010,5744053
Decontrol,Drist,Orchids and Ammunition,Rock,Harmonix,2005,216348
Decontrol,Drist,Orchids and Ammunition,Rock,Harmonix,2005,216348
Arterial Black,Drist,Orchids and Ammunition,Punk-Metal,Harmonix,2006,199500
Arterial Black (Co-op),Drist,Orchids and Ammunition,Punk-Metal,Harmonix,2006,204081
3 Dimes Down,Drive-By Truckers,Brighter Than Creation's Dark,Country,Harmonix,2008,199996
Escaping,Driven By Entropy,Driven By Entropy,Metal,Unknown Charter,2010,297642
Detroit City,Drivin' N' Cryin',The Great American Bubble Factory,Rock,Unknown Charter,2009,273182
I See Georgia,Drivin' N' Cryin',The Great American Bubble Factory,Rock,Unknown Charter,2009,365091
Let Me Down,Drivin' N' Cryin',The Great American Bubble Factory,Rock,Unknown Charter,2009,286000
I'm Shipping Up to Boston,Dropkick Murphys,The Warrior's Code,Celtic Rock,Neversoft,2005,155842
I'm Shipping Up to Boston,Dropkick Murphys,The Warrior's Code,Punk,Harmonix,2005,156012
Famous for Nothing,Dropkick Murphys,The Meanest of Times,Celtic Punk,Neversoft,2007,170100
Famous for Nothing,Dropkick Murphys,The Meanest of Times,Celtic Punk,Neversoft,2007,170100
Flannigan's Ball,Dropkick Murphys,The Meanest of Times,Celtic Punk,Neversoft,2007,223887
Flannigan's Ball,Dropkick Murphys,The Meanest of Times,Celtic Punk,Neversoft,2007,223887
"Johnny, I Hardly Knew Ya",Dropkick Murphys,The Meanest of Times,Celtic Punk,Neversoft,2007,238731
"Johnny, I Hardly Knew Ya",Dropkick Murphys,The Meanest of Times,Celtic Punk,Neversoft,2007,238731
Bodies,Drowning Pool,Sinner,Nu Metal,Neversoft,2001,212666
Console War,DruoxTheShredder,Single,Metal,"Gyoo, GHX, Oddbrother, Gabivad, JD2504",2010,267958
Genghis Khan,Dschinghis Khan,Dschinghis Khan,popdanceelectronic,Unknown Charter,1979,191160
Moskau (Camellia's Handzup Bootleg),Dschingis Khan/Camellia,Memes,Handzup,actuallyasriel,2018,269600
LAYon-theLINE,D-Selections,LAYon-theLINE,J-Pop,Parzi,2017,289368
Don't Start Now,Dua Lipa,Future Nostalgia,Pop,RaiderG,2019,186038
Don't Start Now (Regard Remix),Dua Lipa,Don't Start Now (Regard Remix),Deep House,Angevil,2020,181546
Break My Heart,Dua Lipa,Future Nostalgia,popdanceelectronic,Unknown Charter,2020,225767
Don't Start Now,Dua Lipa,Future Nostalgia,popdanceelectronic,"Harmonix, Rhythm Authors",2020,183869
Levitating,Dua Lipa,Future Nostalgia,popdanceelectronic,Unknown Charter,2020,207539
Dance The Night,Dua Lipa,Barbie The Album,rbsoulfunk,Henry13Hdz,2023,178795
No Eyed Physical Hotel [MASHUP],Dua Lipa and Friends,Past Prediction,Mashup,mrf Mashups,2020,195611
Knock Em Down,Duck & Cover,Duck & Cover,punk,Unknown Charter,2014,155192
Two Shots,Duck & Cover,Two Shots,punk,"Harmonix, Rhythm Authors",2019,184620
Warwick Avenue,Duffy,Rockferry,Pop,Neversoft,2008,233111
Warwick Avenue,Duffy,Rockferry,Pop,Neversoft,2008,233111
Rio,Duran Duran,Rio,Pop Rock,Neversoft,1982,333165
Hungry Like the Wolf,Duran Duran,Rio,Pop/Rock,Harmonix,1982,234893
The Reflex,Duran Duran,Seven and the Ragged Tiger,new_wave,Unknown Charter,1983,333773
RudeBoys,Dutch ReBelle,"Boston Sessions, Vol. 1: Beast",hiphoprap,"Harmonix, Rhythm Authors",2016,219998
You're Welcome,"Dwayne ""The Rock"" Johnson",Moana: Original Motion Picture Soundtrack,poprock,Unknown Charter,2016,167973
You're Welcome,Dwayne Johnson,Moana OST,Movie Soundtrack,jdurandTV,2016,165876
Calling to Dance,EA,EA 15,Pop/Dance/Electronic,Unknown Charter,2011,217500
Save Tonight,Eagle-Eye Cherry,Desireless,alternative,Unknown Charter,1997,216759
One of These Nights,Eagles,One of These Nights,Rock,Neversoft,1975,272995
Hotel California,Eagles,Hotel California,Classic Rock,Neversoft,1976,405731
Life In The Fast Lane,Eagles,Hotel California,Hard Rock,Neversoft,1977,290154
Frail Grasp on the Big Picture,Eagles,Long Road Out of Eden,Rock,Neversoft,2007,350455
I Only Want You,Eagles of Death Metal,"Peace, Love, Death Metal",Garage Rock,Neversoft,2004,173143
I Only Want You,Eagles of Death Metal,"Peace, Love, Death Metal",Rock,Harmonix,2004,167840
Cherry Cola,Eagles of Death Metal,Death by Sexy...,Garage Rock,Neversoft,2006,202611
Anything 'Cept the Truth,Eagles of Death Metal,Heart On,Garage Rock,Neversoft,2008,277693
Oye Vaya,Earl Greyhound,Suspicious Package,Rock,Unknown Charter,2010,206734
September,Earth Wind & Fire,Earth Wind & Wire,R&B,DeepFriedDVD,1971,215434
Shining Star,"Earth, Wind & Fire",That s the Way of the World,Funk,Harmonix,1975,176802
Shining Star,"Earth, Wind & Fire",That's the Way of the World,Funk,Harmonix,1975,176802
September,"Earth, Wind & Fire","The Best of Earth, Wind & Fire, Vol. 1",rbsoulfunk,Unknown Charter,1978,222769
The Killing Moon,Echo & The Bunnymen,Ocean Rain,New Wave,Harmonix,1984,358819
Cool Kids,Echosmith,Talking Dreams,Alternative,DeepFriedDVD,2013,242880
How Bad Can I Be,Ed Helms,Dr. Seuss' The Lorax: Original Songs from the Motion Picture,poprock,Unknown Charter,2012,177005
The A Team (Acoustic Version) (THIS IS ACTUALLY HARD TRUST ME),Ed Sheeran,#NAME?,Pop-Rock,tram455,2011,245781
Thinking Out Loud,Ed Sheeran,X,Blues Pop,RaiderG,2014,287428
Sing,Ed Sheeran,X,poprock,Unknown Charter,2014,239999
Thinking Out Loud,Ed Sheeran,x,poprock,Unknown Charter,2014,283855
Galway Girl,Ed Sheeran,Divide,Pop,DeepFriedDVD,2017,300000
Shape of You,Ed Sheeran,Divide,Pop,DeepFriedDVD,2017,263267
Perfect,Ed Sheeran,Divide,popdanceelectronic,Unknown Charter,2017,268276
Perfect,Ed Sheeran,Divide,popdanceelectronic,Unknown Charter,2017,268276
Shape of You,Ed Sheeran,Divide,poprock,"Harmonix, Rhythm Authors",2017,237498
Bad Habits,Ed Sheeran,Unknown Album,popdanceelectronic,Unknown Charter,2021,240128
Bad Habits (feat. Bring Me The Horizon),Ed Sheeran,Bad Habits (feat. Bring Me The Horizon),Rock,Koyle,2022,252827
Shape of Poop,Ed Sheereesh,Divide By Zero,Memes,YoshiOG,2021,243460
Albert,Eddie Japan,"Modern Desperation, Pt. II",indierock,Unknown Charter,2015,252433
Free Ride,Edgar Winter,They Only Come Out at Night,Classic Rock,Neversoft,1997,213133
Scott Pilgrim vs. The World,Edgar Wright,Scott Pilgrim vs. The World,Movie,TheAssman,2010,6743808
Flesh and Blood,Edge,Venus in Furs,Alternative,Unknown Charter,2008,267076
Under Water I Drown,Edge,Venus in Furs,Alternative,Unknown Charter,2008,342879
Believe in Myself,EDGE of LIFE,EDGE of LIFE,J-Pop,RAILSONXGAMER,2016,203826
Saturday Morning,Eels,Shootenanny!,Indie Rock,Harmonix,2003,177874
Rock-a-Bye Baby,Effie I. Canning,Children's Keys 01,Children's Music,YARC,1884,23846
The Call,Ego Kill Talent,The Dance Between Extremes,rock,"Harmonix, Rhythm Authors",2021,214214
No Weapon Formed Shall Prosper,Eidola,EVISCERATE,Metalcore,HannonGT,2024,236078
No Weapon Formed Shall Prosper,Eidola,Eviscerate,Post-Hardcore,Angevil,2024,235992
Blue (Da Ba Dee),Eiffel 65,Europop,Dance/Electronic,DeepFriedDVD,1999,219220
Blue (Da Ba Dee),Eiffel 65,Europop,Pop/Dance/Electronic,OzoneEntertainment,1999,284625
Connection,Elastica,Elastica,alternative,"Harmonix, Rhythm Authors",1995,142022
Do Ya,Electric Light Orchestra,A New World Record,Rock,GuitarZero132,1976,229096
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,Pop-Rock,Four Neat Guys,1977,315532
Sweet Talkin' Woman,Electric Light Orchestra,Out of the Blue,Pop-Rock,Unknown Charter,1977,228363
Gay Bar,Electric Six,Fire,Rock,Harmonix,2003,144296
Dance Epidemic,Electric Six,Señor Smoke,Rock,Harmonix,2005,171320
I Don't Like You,Electric Six,I Shall Exterminate Everything Around Me That Restricts Me from Being the Master,Rock,Harmonix,2007,176682
"Row, Row, Row Your Boat",Eliphalet Oram Lyte,Children's Keys 01,Children's Music,YARC,1881,23551
I wrote a song using only iconic spongebob quotes,Elise Ecklund,Remember Licking Doorknobs is Illegal on Other Planets,Random Ukuele Shit,DeepFriedDVD,2018,251309
I wrote a song using only hate comments!,Elise Ecklund,You Voice Sucks,Random Ukulele Shit,DeepFriedDVD,2018,286418
Ex's & Oh's,Elle King,Love Stuff,alternative,Unknown Charter,2015,202284
Under the Influence,Elle King,Love Stuff,Alternative Rock,Sygenysis + Nunchuck,2015,209261
Shame,Elle King,Shake the Spirit,alternative,"Harmonix, Rhythm Authors",2018,161997
Drunk (And I Don't Wanna Go Home) (ft. Miranda Lambert),Elle King,Come Get Your Wife,alternative,"Harmonix, Rhythm Authors",2023,245999
On My Mind,Ellie Goulding,Delirium,popdanceelectronic,"Harmonix, Rhythm Authors",2015,212145
Crocodile Rock,Elton John,Don't Shoot Me I'm Only the Piano Player,Classic Rock,Harmonix,1973,222970
Crocodile Rock,Elton John,Don't Shoot Me I'm Only the Piano Player,Classic Rock,Harmonix,1973,222970
Saturday Night's Alright for Fighting,Elton John,Goodbye Yellow Brick Road,Classic Rock,Harmonix,1973,303304
Goodbye Yellow Brick Road,Elton John,Goodbye Yellow Brick Road,classicrock,Unknown Charter,1973,198080
Sorry Seems to Be the Hardest Word,Elton John,Blue Moves,Pop-Rock,Farottone,1976,293531
I'm Still Standing,Elton John,Too Low for Zero,Classic Rock,Harmonix,1983,196000
I'm Still Standing,Elton John,Too Low for Zero,Classic Rock,Harmonix,1983,196000
I Just Can't Wait to be King,Elton John,The Lion King: Original Motion Picture Soundtrack,rock,Unknown Charter,1994,174567
I Guess That's Why They Call It the Blues (Remastered),Elton John,Diamonds (Deluxe),classical,Farottone/Budokagamer,2017,290774
Cold Heart (PNAU Remix),Elton John - Dua Lipa,The Lockdown Sessions,popdanceelectronic,Unknown Charter,2021,205863
Pump It Up,Elvis Costello,This Year's Model,Rock,Harmonix,1978,213818
Radio Radio,Elvis Costello,This Year's Model,Rock,Harmonix,1978,187744
Jailhouse Rock,Elvis Presley,Jailhouse Rock,Rock,DeepFriedDVD,1957,163305
Suspicious Minds,Elvis Presley,From Elvis in Memphis,rock,Unknown Charter,1969,270930
Remember,Ember McLain,Fanning the Flames,Ghost Meme Rock,DeepFriedDVD,2004,167485
On the Run,Emerald,On the Run,Rock,Unknown Charter,2010,298076
Butcher's Mouth,Emery,...In Shallow Seas We Sail,Rock,Unknown Charter,2009,198783
Scissors,Emery,We Do What We Want,Rock,Unknown Charter,2011,195217
The Cheval Glass,Emery,We Do What We Want,Rock,Unknown Charter,2011,199617
The Real Slim Shady,Eminem,The Marshall Mathers LP,Hip Hop,Big Whoop Magazine,2000,280311
Stan,Eminem,The Marshall Mathers LP,Hip-Hop/Rap,YAN,2000,410594
Lose Yourself,Eminem,Music from and Inspired by the Motion Picture 8 Mile,Hip-Hop/Rap,funkydunkleman,2002,325079
'Till I Collapse,Eminem,The Eminem Show,Hip-Hop/Rap,YAN,2002,300591
Without Me,Eminem,The Eminem Show,Hip-Hop/Rap,funkydunkleman,2002,281216
Sing For The Moment,Eminem,The Eminem Show,Rap,alpisaprofit,2002,342193
Just Lose It,Eminem,Encore,Rap,ForbiddenNotes,2004,248764
Fack,Eminem,Curtain Call: The Hits,Cursed,"Jarvis9999, Hyperbola, and Gamo",2005,207593
Love The Way You Lie (featuring Rihanna),Eminem,Recovery,Hip-Hop/Rap,Unknown Charter,2010,267392
Rap God,Eminem,The Marshall Mathers LP 2,Hip-Hop/Rap,atupomaruru,2013,369513
The Monster (ft. Rihanna),Eminem,The Marshall Mathers LP2,Hip-Hop/Rap,funkydunkleman,2013,254490
Rap God,Eminem,The Marshall Mathers LP 2,hiphoprap,Unknown Charter,2013,369513
Rap God,Eminem,The Marshall Mathers LP 2,rap,Unknown Charter,2013,369202
Lucky You (Featuring Joyner Lucas),Eminem,Kamikazi,Hip-hop,Construed,2018,246656
Venom,Eminem,Kamikaze,Rap,Nuttycivicsi,2018,272688
Without Me (Nokia Version),Eminem,Unknown Album,Memes,Pix_,2020,141452
Godzilla,Eminem ft. Juice WRLD,Music to be Murdered By,Hip Hop/Rap,DeepFriedDVD,2020,210930
Godzilla,Eminem ft. Juice WRLD,Music to be Murdered By,Hip Hop/Rap,DeepFriedDVD,2020,210930
Godzilla,Eminem ft. Juice WRLD,Music to Be Murdered By,hiphoprap,Unknown Charter,2020,213786
Love the Way You Lie,"Eminem, Rihanna",Recovery,Hip-Hop,Unknown Charter,2010,300000
Shinjuku Masterlord,Emmure,Look at Yourself,Josh Travis,aarøn,2017,187705
The Tragedy of Darth Plagueis the Wise,Emperor Palpatine,The Senate,inspirational,Unknown Charter,2005,122695
Live for Today,Enemy Remains,Unknown Album,Rock,Unknown Charter,2007,229119
Orinoco Flow,Enya,Watermark,New Age,BurpLeTurtle,1988,270923
Artists vs Tmnt,Epic Rap Battles,-,Rap,C.H. Uruguay,2014,131604
Fuyu Biyori,Eri Sasaki,Yuru Camp S1 Ending Song,J-Pop,Sang Duta & Mathys,2018,279205
Lady Gaga's 'Poker Face' (South Park Version),Eric Cartman,South Park,Novelty,Harmonix,2009,214914
Poker Face,Eric Cartman,Whale Whores,Novelty,DeepFriedDVD,2009,215527
Hell On The Heart,Eric Church,Carolina,Country,Harmonix,2009,165868
Cliffs Of Dover,Eric Johnson,Ah Via Musicom,Instrumental Rock,Neversoft,1990,255000
Camel's Night Out,Eric Johnson,Venus Isle,Rock,Neversoft,1996,323999
If Trucks Drank Beer,Error 404 feat. CJ Watson,Unknown Album,Country,Unknown Charter,2009,164000
No Light,Escape Key,None of Them Are You,alternative,Unknown Charter,2009,286876
Turn Back Time (Rock Band Edition),Escape the Day,Unknown Album,Metal,Alt-StrumProductions,2012,186625
My Apocalypse,Escape The Fate,Dying Is Your Latest Fashion,Post-Hardcore,StormEagle,2006,285995
Not Good Enough for the Truth In Cliche,Escape The Fate,Dying Is Your Latest Fashion,Post-Hardcore,StormEagle,2006,233258
Situations,Escape the Fate,Dying Is Your Latest Fashion,Post-Hardcore,StormEagle,2006,190919
The Guillotine,Escape the Fate,Dying Is Your Latest Fashion,Post-Hardcore,StormEagle,2006,275815
There's No Sympathy For The Dead,Escape the Fate,Dying Is Your Latest Fashion,Post-Hardcore,StormEagle,2006,326395
The Flood,Escape the Fate,This War Is Ours,Emo,Harmonix,2008,215250
This War Is Ours (The Guillotine II),Escape the Fate,This War Is Ours,Post-Hardcore,StormEagle,2008,270259
The Aftermath (G3),Escape the Fate,Escape the Fate,Post-Hardcore,StormEagle,2010,334897
The Final Blow,Escape The Fate,Escape The Fate,Post-Hardcore,StormEagle,2010,205173
The Guillotine Trilogy,Escape the Fate,Various Albums,Post-Hardcore,StormEagle,2010,873582
Christmas Song,Escape the Fate,Christmas Song,Rock,StormEagle,2020,174603
Demons,Escape the Fate,Chemical Warfare,Post-Hardcore,StormEagle,2021,175903
Not My Problem (feat. Travis Barker),Escape the Fate,Chemical Warfare,Rock,StormEagle,2021,206960
Judas,Esperanza Spalding,Emily's D+Evolution,Jazz Fusion,SoConfined,2016,251369
Shizuku,Esprit D'Air,Shizuku,J-Rock,Unknown Charter,2012,242573
American Boy (ft. Kanye West),Estelle,Shine,R&B/Soul/Funk,TheSheepQueen,2008,291977
SPONGEBOB TRAP REMIX! KRUSTY KRAB,Eugiene the Dream,Unknown Album,Trap,DeepFriedDVD,2014,38570
Day to Day,Eulogies,Here Anonymous,Indie Rock,Unknown Charter,2009,210002
Rock the Night,Europe,The Final Countdown,Metal,Vicarious Visions,1986,253451
The Final Countdown,Europe,The Final Countdown,Metal,Harmonix,1986,305250
Bring Me to Life,Evanescence,Fallen,Industrial,Neversoft,2003,247578
Bring Me to Life,Evanescence,Fallen,Nu Metal,Harmonix,2003,236154
Bring Me to Life,Evanescence,Fallen,Nu Metal,Unknown Charter,2003,235869
Everybody's Fool,Evanescence,Fallen,Nu Metal,Harmonix,2003,197053
Bring Me to Life (Add Keyboard),Evanescence,Fallen,Rock,Harmonix; Austin Tomlinson,2003,238171
Call Me When You're Sober,Evanescence,The Open Door,Nu Metal,Harmonix,2006,217492
Weight of the World,Evanescence,The Open Door,Nu Metal,Harmonix,2006,217576
Bokurano,Eve,Bokurano,J-Pop,Maverick,2023,215741
Inside Out,Eve 6,Eve 6,Alternative,Harmonix,1998,218524
Here's to the Night,Eve 6,Horrorscope,alternative,"Harmonix, Rhythm Authors",2000,235133
Get Up,Eve Nelson,Minute to Win It,Dance/Electronic,DeepFriedDVD,2010,185109
Santa Monica,Everclear,Sparkle and Fade,Pop Rock,Neversoft,1995,199725
Santa Monica,Everclear,Sparkle and Fade,Pop Rock,Neversoft,1995,199725
Where Were You?,Every Avenue,Shh. Just Go With It,Alternative,Unknown Charter,2008,165454
The New Black,Every Time I Die,Gutter Phenomenon,Southern Rock,Harmonix,2005,172132
In Memory,Excruciating Thoughts,Archaic,Metal,RhythmAuthors,2008,266859
The Next Door - Indestructible (feat. Flo Rida),EXILE,The Hurricane - Fireworks,J-Pop,sherm.,2009,268859
Riot Act,Exodus,The Atrocity Exhibition: Exhibit A,Metal,Unknown Charter,2007,222799
Burn Zone,Extent of the Jam,musicdisk01,Chiptune,3-UP,2019,225953
Cupid's Dead,Extreme,III Sides To Every Story,Hard Rock,Zantor,1992,355992
So Payaso,Extremoduro,Agila,Rock,Neversoft,1996,272565
So Payaso,Extremoduro,Agila,Rock,Neversoft,1996,272565
So Payaso (Co-op),Extremoduro,Agila,Rock,Neversoft,1996,272565
So Payaso (Co-op),Extremoduro,Agila,Rock,Neversoft,1996,272565
Ping!,Exyl,Ping!,Future Bass/fluteGang,Matharu,2019,164992
MOAI,Exyl,MOAI,Uptempo Trap & Moombathon->Dubstep,Matharu,2020,201615
Ping! 2,Exyl,Ping! 2,Future Bass/fluteGang,Matharu,2021,189752
Egg,Exyl,Egg,Jersey House -> Smooth Jazz -> Smoother Glitch Pop,Matharu,2021,163236
Nice logo,Exyl & Dalux,Nice logo,Trap & Future Bass,Matharu,2020,135656
